Priority Level,Name,Time,Categories
High,"新宿 | 明治神宮, 代代木公園","February 18, 2025 13:00 (GMT+8) → 14:00","參拜, 神社"
High,涉谷 | 逛街,"February 18, 2025 17:00 (GMT+8) → 19:00",逛街
High,神谷町 | 東京鐵塔,"February 18, 2025 18:00 (GMT+8) → 19:00",景點
High,秋葉原晚餐,"February 18, 2025 20:00 (GMT+9) → 22:00","吃飯, 食物"
High,回程,"February 18, 2025 21:00 (GMT+8) → 23:00",回程
High,赤板 | 哈利波特,"February 18, 2025 16:00 (GMT+8) → 17:00",逛街
High,涉谷 | Shibuya sky,"February 21, 2025 8:00 (GMT+8) → 11:00",景點
High,靜岡 | 熱海-花火大會(注意時間),"February 21, 2025 14:00 (GMT+8) → 21:30",花火大會
High,「地點」,"March 21, 2025 13:00 (GMT+8) → 20:30",
High,回程 - 新幹線,"February 21, 2025 21:30 (GMT+8) → February 22, 2025 0:00 (GMT+8)",回程
High,富士山,"February 22, 2025 8:00 (GMT+8) → 10:00",搭車
High,"酒店 CheckIn ","February 22, 2025 15:00 (GMT+8) → 15:30","checkIn, 飯店"
High,回程,"February 24, 2025 11:00 (GMT+8) → 20:00",回程
High,天空鳥居 - 河口淺間神社 ,"February 23, 2025 6:00 (GMT+8) → 8:30",景點
High,ほうとう (餺飥) 不動 河口湖北本店(晚餐？),"February 23, 2025 16:00 (GMT+8) → 16:30",食物
High,新倉山淺見公園,"February 23, 2025 9:30 (GMT+8) → 11:00",景點
High,山中湖 + 自由車,"February 23, 2025 13:30 (GMT+8) → 15:00",景點
High,忍野八海,"February 23, 2025 11:00 (GMT+8) → 12:30",景點
High,回程 → 河口湖,"February 23, 2025 15:00 (GMT+8) → 16:00",回程
High,回程 → 新宿,"February 23, 2025 20:10 (GMT+8) → 22:00",回程
High,河口湖天上山公園,"February 22, 2025 10:00 (GMT+8) → 11:00",景點
High,河口湖煙火大會,"February 22, 2025 20:00 (GMT+8) → 20:30",花火大會
High,回飯店休息,"February 22, 2025 20:30 (GMT+8) → 23:30",休息
High,河口湖大橋佔位置 / 湖邊走走,"February 22, 2025 15:30 (GMT+8) → 20:00",花火大會
High,大石公園 / 西湖 / 精進湖/  本栖湖 - 藍線,"February 22, 2025 11:00 (GMT+8) → 14:00",景點
High,飯店收拾+CheckOut + 河口湖放行李,"February 23, 2025 8:30 (GMT+8) → 9:30",飯店
High,回程 → 飯店,"February 23, 2025 22:00 (GMT+8) → 23:00",回程
High,到處走走/吃吃(沒車車了) / 租腳踏車,"February 23, 2025 16:45 (GMT+8) → 20:00",隨便走走
High,自由行 + 飯店checkout,"February 24, 2025 7:00 (GMT+8) → 11:00",購物
High,銀座 篝 本店 (拉麵店）,"February 21, 2025 11:00 (GMT+8) → 12:00","吃飯, 食物"
High,原宿 - 吉伊卡娃,"February 21, 2025 12:00 (GMT+8) → 14:00",購物
